benchmark,bosy,strix,none
amba_decomposed_arbiter,AI_ERROR,AI_ERROR,ERROR_CONVERT_TO_AIGER
amba_decomposed_encode,AI_ERROR,AI_ERROR,FALSE_RESULT
amba_decomposed_lock,AI_ERROR,ERROR_COMBINE_AIGER,ERROR_COMBINE_AIGER
collector_v1,NO_CODE,AI_ERROR,ERROR_COMBINE_AIGER
collector_v2,TIMEOUT,AI_ERROR,ERROR_COMBINE_AIGER
collector_v3,TIMEOUT,SUCCESS,ERROR_CONVERT_TO_AIGER
detector,TIMEOUT,NO_CODE,FALSE_RESULT
full_arbiter,NO_CODE,AI_ERROR,ERROR_COMBINE_AIGER
load_balancer,NO_CODE,AI_ERROR,ERROR_CONVERT_TO_AIGER
ltl2dba_alpha,TIMEOUT,NO_CODE,ERROR_CONVERT_TO_AIGER
ltl2dba_beta,TIMEOUT,AI_ERROR,FALSE_RESULT
ltl2dba_C2,TIMEOUT,NO_CODE,ERROR_COMBINE_AIGER
ltl2dba_E,TIMEOUT,FALSE_RESULT,ERROR_COMBINE_AIGER
ltl2dba_Q,TIMEOUT,ERROR_COMBINE_AIGER,ERROR_COMBINE_AIGER
ltl2dba_U1,TIMEOUT,AI_ERROR,ERROR_COMBINE_AIGER
mux,TIMEOUT,FALSE_RESULT,FALSE_RESULT
narylatch,TIMEOUT,AI_ERROR,FALSE_RESULT
prioritized_arbiter,TIMEOUT,NO_CODE,FALSE_RESULT
prioritized_arbiter_enc,TIMEOUT,AI_ERROR,ERROR_COMBINE_AIGER
round_robin_arbiter,TIMEOUT,AI_ERROR,FALSE_RESULT
shift,SUCCESS,SUCCESS,FALSE_RESULT
simple_arbiter,TIMEOUT,NO_CODE,FALSE_RESULT
simple_arbiter_enc,FALSE_RESULT,AI_ERROR,ERROR_CONVERT_TO_AIGER
