benchmark,bosy,strix,none
amba_decomposed_arbiter,AI_ERROR,AI_ERROR,ERROR_CONVERT_TO_AIGER
amba_decomposed_encode,AI_ERROR,AI_ERROR,SUCCESS
amba_decomposed_lock,AI_ERROR,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER
collector_v2,FALSE_RESULT,NO_CODE,FALSE_RESULT
collector_v3,SUCCESS,SUCCESS,ERROR_CONVERT_TO_AIGER
detector,FALSE_RESULT,FALSE_RESULT,FALSE_RESULT
load_balancer,NO_CODE,AI_ERROR,ERROR_CONVERT_TO_AIGER
ltl2dba_alpha,FALSE_RESULT,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
ltl2dba_C2,FALSE_RESULT,FALSE_RESULT,ERROR_COMBINE_AIGER
mux,FALSE_RESULT,FALSE_RESULT,SUCCESS
narylatch,AI_ERROR,ERROR_CONVERT_TO_AIGER,FALSE_RESULT
prioritized_arbiter,FALSE_RESULT,NO_CODE,FALSE_RESULT
shift,SUCCESS,SUCCESS,FALSE_RESULT
simple_arbiter,FALSE_RESULT,FALSE_RESULT,FALSE_RESULT
simple_arbiter_enc,FALSE_RESULT,AI_ERROR,ERROR_CONVERT_TO_AIGER
