benchmark,none
amba_decomposed_arbiter,ERROR_CONVERT_TO_AIGER
amba_decomposed_encode,FALSE_RESULT
amba_decomposed_lock,FALSE_RESULT
collector_v1,FALSE_RESULT
collector_v2,FALSE_RESULT
collector_v3,SUCCESS
detector,ERROR_CONVERT_TO_AIGER
full_arbiter,FALSE_RESULT
load_balancer,FALSE_RESULT
ltl2dba_alpha,FALSE_RESULT
ltl2dba_beta,ERROR_CONVERT_TO_AIGER
ltl2dba_C2,FALSE_RESULT
ltl2dba_E,FALSE_RESULT
ltl2dba_Q,FALSE_RESULT
ltl2dba_U1,FALSE_RESULT
mux,SUCCESS
narylatch,FALSE_RESULT
prioritized_arbiter,ERROR_CONVERT_TO_AIGER
prioritized_arbiter_enc,FALSE_RESULT
round_robin_arbiter,ERROR_CONVERT_TO_AIGER
shift,SUCCESS
simple_arbiter,FALSE_RESULT
simple_arbiter_enc,FALSE_RESULT
