benchmark,bosy,strix,none
amba_decomposed_arbiter,AI_ERROR,AI_ERROR,FALSE_RESULT
amba_decomposed_encode,AI_ERROR,AI_ERROR,ERROR_CONVERT_TO_AIGER
amba_decomposed_lock,AI_ERROR,FALSE_RESULT,ERROR_COMBINE_AIGER
collector_v2,FALSE_RESULT,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER
collector_v3,SUCCESS,SUCCESS,ERROR_COMBINE_AIGER
detector,FALSE_RESULT,FALSE_RESULT,FALSE_RESULT
load_balancer,NO_CODE,AI_ERROR,ERROR_CONVERT_TO_AIGER
ltl2dba_alpha,AI_ERROR,FALSE_RESULT,ERROR_COMBINE_AIGER
ltl2dba_C2,FALSE_RESULT,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
mux,ERROR_CONVERT_TO_AIGER,FALSE_RESULT,SUCCESS
narylatch,AI_ERROR,ERROR_CONVERT_TO_AIGER,FALSE_RESULT
prioritized_arbiter,FALSE_RESULT,NO_CODE,SUCCESS
shift,SUCCESS,SUCCESS,FALSE_RESULT
simple_arbiter,FALSE_RESULT,FALSE_RESULT,FALSE_RESULT
simple_arbiter_enc,FALSE_RESULT,AI_ERROR,ERROR_CONVERT_TO_AIGER
